Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Année,Valeur,Note
193,Sao Tomé-et-Principe,511,Population totale,3010,Population-Estimations,2017,207089.0,
195,Sénégal,511,Population totale,3010,Population-Estimations,2017,15419355.0,
272,Serbie,511,Population totale,3010,Population-Estimations,2017,8829628.0,
196,Seychelles,511,Population totale,3010,Population-Estimations,2017,96418.0,
197,Sierra Leone,511,Population totale,3010,Population-Estimations,2017,7488423.0,
200,Singapour,511,Population totale,3010,Population-Estimations,2017,5708041.0,
280,Sint Maarten  (partie néerlandaise),511,Population totale,3010,Population-Estimations,2017,41444.0,
199,Slovaquie,511,Population totale,3010,Population-Estimations,2017,5447900.0,
198,Slovénie,511,Population totale,3010,Population-Estimations,2017,2076393.9999999998,
201,Somalie,511,Population totale,3010,Population-Estimations,2017,14589179.0,
276,Soudan,511,Population totale,3010,Population-Estimations,2017,40813397.0,
277,Soudan du Sud,511,Population totale,3010,Population-Estimations,2017,10910763.0,
38,Sri Lanka,511,Population totale,3010,Population-Estimations,2017,21128032.0,
210,Suède,511,Population totale,3010,Population-Estimations,2017,9904896.0,
211,Suisse,511,Population totale,3010,Population-Estimations,2017,8455804.0,
207,Suriname,511,Population totale,3010,Population-Estimations,2017,570496.0,
208,Tadjikistan,511,Population totale,3010,Population-Estimations,2017,8880268.0,
39,Tchad,511,Population totale,3010,Population-Estimations,2017,15016753.0,
167,Tchéquie,511,Population totale,3010,Population-Estimations,2017,10641034.0,
216,Thaïlande,511,Population totale,3010,Population-Estimations,2017,69209810.0,
176,Timor-Leste,511,Population totale,3010,Population-Estimations,2017,1243258.0,
217,Togo,511,Population totale,3010,Population-Estimations,2017,7698474.0,
218,Tokélaou,511,Population totale,3010,Population-Estimations,2017,1300.0,"UNDESA, Population Division – World Population Prospects, the 2017 Revision"
219,Tonga,511,Population totale,3010,Population-Estimations,2017,101998.0,
220,Trinité-et-Tobago,511,Population totale,3010,Population-Estimations,2017,1384059.0,
222,Tunisie,511,Population totale,3010,Population-Estimations,2017,11433443.0,
213,Turkménistan,511,Population totale,3010,Population-Estimations,2017,5757667.0,
223,Turquie,511,Population totale,3010,Population-Estimations,2017,81116450.0,
227,Tuvalu,511,Population totale,3010,Population-Estimations,2017,11370.0,
230,Ukraine,511,Population totale,3010,Population-Estimations,2017,44487709.0,
234,Uruguay,511,Population totale,3010,Population-Estimations,2017,3436641.0,
155,Vanuatu,511,Population totale,3010,Population-Estimations,2017,285510.0,
236,Venezuela (République bolivarienne du),511,Population totale,3010,Population-Estimations,2017,29402484.0,
237,Viet Nam,511,Population totale,3010,Population-Estimations,2017,94600648.0,
249,Yémen,511,Population totale,3010,Population-Estimations,2017,27834819.0,
251,Zambie,511,Population totale,3010,Population-Estimations,2017,16853599.0,
181,Zimbabwe,511,Population totale,3010,Population-Estimations,2017,14236595.0,
