iso3,Pays,Continent,Population,PIB (US$)/hab,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité(Tonnes),Importations - Quantité(Tonnes),distance
WSM,Samoa,Océanie,195352.0,4259.7650014189,64.77,0.0,17000.0,16011.92
STP,Sao Tomé-et-Principe,Afrique,207089.0,1813.78323514196,9.47,0.0,2000.0,5432.882
SLE,Sierra Leone,Afrique,7488423.0,499.38070781976,3.97,0.0,14000.0,4724.351
SVK,Slovaquie,Europe,5447900.0,17556.6008176369,13.9,35000.0,63000.0,1094.61
SVN,Slovénie,Europe,2076394.0,23512.8172674713,24.41,29000.0,20000.0,965.7366
SDN,Soudan,Afrique,40813397.0,1111.86844893858,1.6,0.0,2000.0,4612.387
LKA,Sri Lanka,Asie,21128032.0,4077.04372120747,7.78,2000.0,0.0,8526.015
CHE,Suisse,Europe,8455804.0,80449.9945127739,15.72,4000.0,51000.0,436.0778
SUR,Suriname,Amérique,570496.0,5637.5149461838,31.06,5000.0,18000.0,7196.987
SWE,Suède,Europe,9904896.0,53791.5087298403,16.6,23000.0,84000.0,1545.797
SEN,Sénégal,Afrique,15419355.0,1361.69958778497,4.76,0.0,0.0,4217.159
TJK,Tadjikistan,Asie,8880268.0,806.041573098044,4.45,0.0,38000.0,5291.823
TCD,Tchad,Afrique,15016753.0,665.94835269506,0.45,0.0,1000.0,4248.435
CZE,Tchéquie,Europe,10641034.0,20636.199952435,21.96,27000.0,116000.0,884.6105
THA,Thaïlande,Asie,69209810.0,6592.91490169864,12.95,796000.0,2000.0,9454.805
TGO,Togo,Afrique,7698474.0,626.091527901405,7.06,0.0,16000.0,4753.381
TTO,Trinité-et-Tobago,Amérique,1384059.0,16238.1931916674,54.54,0.0,23000.0,7225.325
TUN,Tunisie,Afrique,11433443.0,3481.22873876516,17.03,4000.0,0.0,1483.828
TKM,Turkménistan,Asie,5757667.0,6587.09031628698,4.52,0.0,9000.0,4581.08
TUR,Turquie,Asie,81116450.0,10591.4743712025,20.64,429000.0,3000.0,2255.81
UKR,Ukraine,Europe,44487709.0,2640.67567655839,22.62,273000.0,121000.0,2025.144
URY,Uruguay,Amérique,3436641.0,17322.1473894404,9.12,3000.0,3000.0,10972.42
VUT,Vanuatu,Océanie,285510.0,3082.35632289041,11.66,0.0,4000.0,16346.35
VNM,Viet Nam,Asie,94600648.0,2365.62166567374,12.33,1000.0,291000.0,9208.554
YEM,Yémen,Asie,27834819.0,960.528533738514,8.53,0.0,78000.0,5317.261
ZMB,Zambie,Afrique,16853599.0,1534.86675111219,3.42,1000.0,12000.0,7604.841
ZWE,Zimbabwe,Afrique,14236595.0,1548.17005572552,4.68,0.0,6000.0,7949.676
EGY,Égypte,Afrique,96442591.0,2444.29031115094,12.96,1000.0,110000.0,3215.215
ARE,Émirats arabes unis,Asie,9487203.0,40644.804043392,43.47,94000.0,433000.0,5249.535
ECU,Équateur,Amérique,16785361.0,6213.50127649921,19.31,0.0,0.0,9367.098
USA,États-Unis d'Amérique,Amérique,325084756.0,60062.2223132211,55.68,3692000.0,123000.0,5838.157
ETH,Éthiopie,Afrique,106399924.0,768.522307579386,0.13,0.0,1000.0,5582.502
SLB,Îles Salomon,Océanie,636039.0,2332.8148736562,4.45,0.0,6000.0,15178.2
